original	corrected	confidence
EPBS	ePBS	high
Prism	Prysm	high
Aragon	Erigon	high
Bisu	Besu	high
never mind	Nethermind	high
Wrath	Reth	high
Loadstar	Lodestar	high
the coup	Teku	high
Deku	Teku	high
DevNetuna	devnet 2	medium
definite 2	devnet 2	high
definite 3	devnet 3	high
Definite 2	devnet 2	high
Definite 3	devnet 3	high
Ball DevNet 3	bal-devnet-3	high
adijad	at all	medium
Checkpoint Z	Checkpoint Sync	medium
DEFNETS	devnets	high
DEFNET	devnet	high
ERPs	SIPs	high
acidify	SFI	high
AT37	SIP-7637	medium
hacky SIP	half-complete SIP	low
Etherndy	EthR&D	medium
block DevNet0	blob-devnet-0	high
BlobdevNet Zero	blob-devnet-0	high
Blob.net Zero	blob-devnet-0	high
Bell DevNet3	bal-devnet-3	high
Bell DevNet 2 and 3	bal-devnet-2 and bal-devnet-3	high
ePBS DevNet Zero	epbs-devnet-0	high
ePBS DevNet 0	epbs-devnet-0	high
FN3	devnet 3	medium
.NET3	devnet 3	medium
AIPs	SIPs	high
